id,restored_text
0,куплю айфон 14 про
1,и щудом в Подмос ковье
2,сдаю к вартиру с мебелью и техникой
3,новый диван доставка недорого
4,отдам даром кошку
5,работа в Москве удаленно
6,куплю телевизор Philips
7,ищу грузчиков для переезда
8,ремонт квартир подключ
9,куплюн оутбук HP
10,ищу квартиру уметро
11,новая микров олновка Samsung
12,срочно продам велосипед
13,куплю гитару Fender
14,ищу репет итора по биологии
15,сдаю гаражна длите льный срок
16,куплю диванбу
17,ищу мастера по ремонту холодил ьников
18,новый шкаф доставка сегодня
19,куплю Xbox One
20,ищу подра ботку по вечерам
21,с дамком нату студентке
22,куплю старую книгу
23,ищу собаку лабрадор
24,новый телефон Xiaomi 13
25,куплю Playst ation 5 диск
26,ищу комнату в центре города
27,срочно нужна няня ребенку
28,куплю стир альную машину Indesit
29,ищу детскую кроватку бу
30,новая куртка доставка
31,куплю велосипед Merida
32,ищу врача офталь молога
33,сдаю к вартиру в центре Москвы
34,куплю холоди льник Samsung
35,и щукошку брита нскую
36,новый ноутбук доставка завтра
37,куплю шкафбу
38,ищу репет итора по истории
39,с даю ком нату без посре дников
40,куплю теле визорL GOLED
41,ищу квартиру недорог осрочно
42,новый айфон доставка
43,куплю гитару Yamaha
44,ищу студию уметро
45,сдам квартиру молод оженам
46,куплю компьютер игровой
47,ищу работу поваром в кафе
48,новый диван Ikea
49,куплю старый ноутбук
50,ищу собаку до бермана
51,срочно с даюком нату
52,куплюмон иторLG
53,ищу мастера по сант ехнике
54,новый стол доставка
55,купл юайфон 13 мини
56,ищу девушку для отношений
57,с даюдачу налето
58,куплю стир альную машину LG
59,ищу учителя англий ского языка
60,новый ноутбук Asus
61,куплю матра сортопеди ческий
62,ищу комнату на длите льный срок
63,сдам квартиру без залога
64,куплю холоди льник Atlant
65,ищу собаку шпица
66,новая стира льная машина доставка
67,куплю телевизор Sony
68,ищу репет итора по географии
69,сдаю комнату с мебелью
70,куплю пылесос Dyson
71,ищу работу офици анткой
72,новый шкаф купе
73,куплюд иван угловой
74,ищу квартиру на длите льный срок
75,с дамгараж варенду
76,куплю велосипед Stels
77,ищу врачапе диатра
78,новый телефон Oppo
79,куплю микров олновку Samsung
80,ищу комнату для девушки
81,срочно продамшка ф
82,куплю Playst ation 4slim
83,ищу собаку немецкую овчарку
84,новая куртка зима
85,куплю телефон Honor
86,ищу подругу для прогулок
87,сдаюк в артиру семье
88,куплю телевизор Toshiba
89,ищу мастера по ремонту стиралок
90,новый диван серый
91,куплюко модбу
92,ищу учителя по мате матике
93,сдам кв артиру студентам
94,куплю велосипед бу
95,ищу студию на месяц
96,новая микров олновка доставка
97,ищу работу на выходные
98,куплю телефон Huawei
99,"прод амшкаф, почти новый, с зеркалами"
100,"ищу книгу братья карама зовы, срочно"
101,"новый монитор, 27 дюймов, доставка"
102,"куплю коврик для йоги, недорого!"
103,"ищу инстр уктора по плаванию, бассейн рядом"
104,"с дамком нату, только девушке"
105,"куплю швейную машинку, рабочую"
106,"ищу друзей для путеш ествий, летом в горы"
107,"новая кофеварка Philips, гарантия есть"
108,"куплю лыжи, палки в комплекте"
109,"ищу учителя по вокалу, джаз"
110,"сдам место в гараже, сухо"
111,"куплю детский велосипед, для девочки"
112,"ищу пекаря в кафе, утро"
113,"новая стиралка Bosch, привезу сам"
114,"куплю стол письм енный, белый"
115,"ищу програм мистана проект, срочно!"
116,"сдам студию посуточно, метро рядом"
117,"куплю сковороду чугунную, диаметр 28"
118,"ищу репет итора по биологии, ЕГЭ"
119,"новая газовая плита, привезём быстро"
120,"куплю машину В АЗбу, на ходу"
121,"ищу столик для ноутбука, складной"
122,"сдам квартиру на ночь, чисто"
123,"куплюшка ф- купе, трёхд верный"
124,"ищу костюм на свадьбу, мужской"
125,"новый пылесос Samsung, коробка есть"
126,"куплюрюк закт уристи ческий, 70 литров"
127,ищу учителя по шахматам
128,"сдам парковку в центре, охрана"
129,"куплю кроссовки Adidas, оригинал"
130,"ищу столярные услуги, недорого"
131,"новый телевизор LG, гарантия 2 года"
132,"куплювазу для цветов, стек лянную"
133,ищу уборщицу на выходные
134,"сдамофис, 20 квадратов"
135,"куплю коньки женские, размер 37"
136,ищу перев одчика с англий ского
137,"новый утюг Philips, гарантия"
138,"куплю наушники, беспро водные"
139,"ищупли точника, ремонт ванной"
140,"сдам гараж, ключи на руках"
141,"куплюн оутбук, недорого, срочно"
142,ищу грузчиков на завтра
143,"новый роутер Xiaomi, вайфай 6"
144,"куплю колонки 5. 1, мощные"
145,"ищу электрика, розетки искрят!"
146,"с дамдачу на неделю, есть баня"
147,"куплюмик серку хонный, брендовый"
148,ищу фотографа на мероп риятие
149,новая мульт иварка Redmond
150,"куплю чайник электр ический, новый"
151,"ищуп ылесос, моющий"
152,"сдам кладовку, центр города"
153,куплю камеру видеона блюдения
154,"ищуняню, график гибкий"
155,"новый смартфон, запеча танный"
156,куплючем одан на колёсах
157,ищу парик махера на дом
158,"сдам склад, 50 метров"
159,"куплю проектор, для фильмов"
160,ищу гитариста в группу
161,новый кухонный комбайн
162,"куплю диван, ткань серая"
163,и щуплиту электр ическую
164,"сдам студию в центре, уютная"
165,куплюм ясоруб куручную
166,ищушеф- повара в ресторан
167,новый матрас ортопе дический
168,"куплю трена жёр, вело"
169,"ищу адвоката, консул ьтация"
170,"сдамофис, аренда помесячно"
171,куплю картину маслом
172,ищу бухга лтера на полставки
173,новая печь микров олновая
174,купл юлодку резиновую
175,"ищу логопеда, занятия дома"
176,"сдам квартиру, ремонт свежий"
177,"ищу мебел ьщика, кухня под заказ"
178,новый кулер для воды
179,куплюстол складной
180,"ищу водителя, ночные смены"
181,"сдам квартиру, только русским"
182,куплю платье вечернее
183,"ищу хирурга, консул ьтация срочно"
184,новый фильтр для воды
185,куплю кресло офисное
186,ищу масса жиста на дом
187,сдам помещение под склад
188,куплю телефон Oppo
189,"ищу психолога, опыт обяза телен"
190,новая колонка JBL
191,куплю джинсы Levi’s
192,"ищудом работницу, центр"
193,"с дам дом, участок 6 соток"
194,куплю конст руктор Lego
195,ищу художника для портрета
196,"новый блендер, гарантия"
197,"куплю видео камеру, недорого"
198,ищу репет итора по химии
199,"с дамдачу, лес рядом"
200,куплю зимние шины
201,ищу гида по Москве
202,новая люстра потол очная
203,"купл юковёр, шерстяной"
204,ищу аренду гаража
205,с дам квартиру с балконом
206,куплю удочку для рыбалки
207,"ищу компо зитора, музыка"
208,"новый тостер, черный"
209,куплю столовые приборы
210,ищу инженера по ремонту
211,"сдам парковку, центр"
212,куплю резину зимнюю
213,ищу актера для съемок
214,новая плита электри ческая
215,куплю виде окарту RTX
216,"ищу юриста, офор мление договора"
217,"сдам склад, сухое помещение"
218,купл юкомод белый
219,"ищупли точника, срочно"
220,новая лампа наст ольная
221,"куплюс кейтборд, новый"
222,с дамком нату с ремонтом
223,куплю роутер TP- Link
224,ищу парня для съёмок
225,"новый ковёр, мягкий"
226,куплючасы Casio
227,ищу поста вщика овощей
228,"сдам студию, центр города"
229,куплю пылесос моющий
230,ищу дизайнера интерьера
231,"новый холод ильник, белый"
232,"ищуняню, полный день"
233,сдам квартиру с техникой
234,куплю плитуг азовую
235,ищу врача карди олога
236,новый чайник электр ический
237,куплю стулья дере вянные
238,ищу повара в кафе
239,с дам дом на месяц
240,куплю автомо бильбу
241,ищу програ ммиста python
242,новая посудомой каBosch
243,куплю камеру Canon
244,ищу работу бариста
245,"сдам студию, срочно"
246,куплю айфон 15 про
247,сдам квартиру в центре
248,ищу работу програ ммистом
249,новая мебель в наличии
250,куплю телевизор Samsung
251,ищу такси до аэропорта
252,срочно отдам котенка
253,куплю холод ильник бу
254,сдаюдачу с баней
255,куплю велосипед новый
256,ищу студию без мебели
257,с дамком нату на месяц
258,куплюм онитор Samsung
259,ищу собаку хаски
260,новая куртка доставка завтра
261,куплю телеви зорLG
262,ищу учителя испанс кого
263,с дамгараж срочно
264,куплюн оутбук Lenovo
265,ищу квартиру посуточно
266,новый столист улья
267,куплю телефон Pixel
268,ищу врача стома толога
269,сдаю офисв аренду
270,куплю гитару Gibson
271,ищу работу курьером
272,новый ноутбук M SI
273,куплю микров олновку LG
274,ищу девушку для прогулок
275,сдам складн едорого
276,куплюай падбу
277,ищу собаку таксу
278,куплю компьютер Mac
279,ищу репет итора по физике
280,сдам квартиру посуточно
281,куплюд иван кожаный
282,ищу работу дизайн ером
283,новый холод ильник доставка
284,куплю телеви зорOLED
285,ищу студию с ремонтом
286,с дамком нату без мебели
287,куплю пылесос Xiaomi
288,ищу репет итора по русскому
289,новая мебель на заказ
290,куплю наушники Sony
291,ищу мастера по мебели
292,с дамдачу налето
293,ищу работу тестир овщиком
294,новый телефон Honor
295,куплю матрасбу
296,ищу собак убигля
297,с дамгараж в центре
298,куплюн оутбук Acer
299,ищу студию на длит ельный срок
300,новый диван в наличии
301,куплю столоб еденный
302,ищу врача терапевта
303,сдаю к вартиру с ремонтом
304,куплю миксер Bosch
305,ищу подра ботку вечером
306,новая куртка мужская
307,куплю телевизор JVC
308,ищу репет итора по инфор матике
309,с дам дому моря
310,куплю планшет Huawei
311,ищу работу мене джером
312,новый ноутбук Dell
313,куплю кресло компью терное
314,ищу собаку джек рассел
315,сдам студию без посре дников
316,куплю велосипед Giant
317,ищу врача хирурга
318,новый пылесос доставка
319,куплю айфон 13
320,с дамком нату для девушки
321,куплю холоди льник новый
322,ищу работу водителем
323,новый диван угловой
324,ищу студию с мебелью
325,с дамдачу недорого
326,куплю микро волнов кубу
327,ищу собаку пуделя
328,новый телевизор TCL
329,куплюн оутбук Asus
330,ищу учителя францу зского
331,ищу репет итора по алгебре
332,новая кухня в наличии
333,куплю компьютер Dell
334,ищу работу продавцом
335,куплю телевизор Sharp
336,ищу собаку лайку
337,продам диванбу
338,2024 год
339,ищу работу програ ммистом удаленно
340,"холод ильник сломался, помоги тесрочно"
341,АВТОМОЙ КАРЯДОМ
342,теле визорL G55
343,Москва Ikea доставка
344,срочно и щу квартиру уметро
345,"ноутбук не включа ется, что делать?"
346,новый стол Ikea доставка
347,продаю кошку в хорошие руки
348,Windows 11 не запуск ается
349,продаю Playst ation 5 почти новая
350,квартира с ремонтом и мебелью
351,"Avito не открыв ается, помогите"
352,хочу купить велоси педбу
353,ищу репети тора по матем атике
354,суши доставка ночью
355,нужна помощь в переезде срочно
356,айфон 14 промакс
357,ищу ключи от машины
358,Сбербанк не работает банкомат
359,продаю комод буторг
360,куплю цветы розы тюльпаны
361,хочу заказать такси в аэропорт
362,и щудом в деревне налето
363,куплюн оутбук для игр
364,отдам даром старый шкаф
365,ищу мастера по ремонту ноутбуков
366,автосер вис побл изости
367,продаю iPhone XR
368,ищу квартиру в Москве недорого
369,собака потер ялась на улице
370,ищу работу офиц иантом вечером
371,подарю котенка хорошим людям
372,Samsung A54 новый
373,квартира студия долгос рочно
374,Иванов Иван Сергеевич
375,ищу автоза пчасти на ВАЗ
376,сломался пылесос Samsung
377,срочно нужен мастер- сантехник
378,ищу дешевые авиа билеты
379,куплю билеты в театр
380,новый холод ильник дешево
381,iPhone 15 Pro
382,ремонт обуви рядом
383,с дамко мнату студенту
384,хочу заказать суши!
385,"ноутбук зависает часто, что делать"
386,Ян дексЕда не работает
387,ищу запчасти на ВАЗ 2107
388,ремонт iPhone быстро
389,хочу купить самока требенку
390,ищу репет итора по англи йскому
391,сдаю к в артиру посуточно
392,доставка еды Москва
393,продам курткубу
394,куплю колеса зима
395,ремонт компь ютеров недорого
396,продаю стул Ikea
397,авто стекло замена
398,нужен мастер по мебели
399,куплю детскую коляску
400,продаю Xbox SeriesS
401,хочу купить мороженое
402,ремонт iPhone Москва
403,хочу кофелатте
404,"IKEA закрылась, что делать?"
405,ищу подругу для общения
406,срочно нужен репетитор
407,"потерял паспорт, помогите"
408,куплю детские вещи
409,ремонт iPhone срочно
410,ищу автосп робегом
411,куплю iPhone 12
412,новый диван доставка
413,квартира с ремонтом недорого
414,хочу купить телевизор Samsung
415,срочно продаю велос ипедбу
416,ищу студента для помощи
417,Москва Сбербанк банкомат
418,ищуме бельбу недорого
419,ноутбук AsusROG
420,хочу заказать пиццу
421,сдаю квартиру на месяц
422,ищу дешёвый телефон
423,продам мониторбу
424,ищу специ алиста по ремонту
425,куплю гитару недорого
426,ищу книгу по истории
427,старый телевизор работает
428,куплю самокат детский
429,"ищу собаку, пропала"
430,Ая танцую пьяный под дождём
431,"Курили только сиги, если чё"
432,Наш образ жизни станет палачом
433,Нисколько не жалею ни очём
434,"Грустно, когда расписаны все маршруты"
435,Когда на часах важны минуты
436,И все на свете стало как- тоскучно и глупо
437,"Мояши зазнает, когда нажать на плей"
438,"Нежди меня родная, закрывай на замок дверь"
439,"Утро доброе, держи меня фонарь"
440,"Очки тёмные, спрячь тем не глаза"
441,"Солнце яркое, прошу согрей меня"
442,"Было весело, ноябне повторял"
443,Я календарь пере вернул
444,И снова третье сентября
445,На фотоятвоё взгляну
446,"Но почему, но почему"
447,Расс таться всё женам пришлось?
448,Ведь было всё у нас всерьёз
449,Второго сентября
450,Журавлей белый клин
451,Твоя дочь и мой сын—
452,Все хотят теплоты и ласки
453,"Мы в любовь, как в игру,"
454,На холодном ветру
455,Поиграли с тобой
456,Но пришёл сам собой
457,"Выцветшая тень, выжженная на"
458,Городском ландшафте меня зовёт
459,Окна янтарё млижут мне глаза
460,Кровь и слепота волокут вперёд
461,Лёгкие опухли
462,Аморок сквозь толпу
463,"Манит, игнорируя меня"
464,Только бы догнал
465,Я его почти догнал
466,Тело испол няется огня
467,"Сердце лупит мне в грудь, как в гонг"
468,Распо лзаясь пососу дамрас катами
469,Ветхий город применяет закон
470,Чтобы два близнеца оказались разъятыми
471,"Я давлюсь, изрыгая огонь"
472,Глотками воздуха
473,На альвеолах распятыми
474,В этом стробо скопи ческом кино
475,Для дости жения рубежа
476,"Мне не хватает дыхания, но"
477,Я продолжаю что есть мочи бежать
478,Только меня беспокоит одно
479,Лёгкие будто поеларжа
480,Я продолжаю за ним бежать
481,"Я ананас, я такой же как он"
482,Колючий внутри и со всех сторон
483,Нешут и со мной
484,Я тропич еский лев
485,Аркадий Укупник— кусающий лжец
486,"Тот, кто в пятна дцать лет убежал из дома,"
487,"Вряд ли поймет того, кто учился в спецшколе."
488,"Тот, у кого есть хороший жизненный план,"
489,Вряд ли будет думать о чем- то другом.
490,"Мы пьемчай в старых квартирах,"
491,"Ждем лета в старых квартирах,"
492,"В старых квартирах, где есть свет,"
493,"Газ, телефон, горячая вода,"
494,"Ради оточка, пол- паркет,"
